theta_deg,dir_bempp_imp_dBi
0.5,20.08976639013138
0.5,20.089898393806827
1.5000000000000002,19.950544868770045
1.5000000000000002,19.951169171963308
2.5,19.669777284300057
2.5,19.67119233353136
3.5,19.242139577650562
3.5,19.244635310523723
4.5,18.658997107801213
4.5,18.662852664242255
5.5,17.912931882379464
5.5,17.907451706340524
6.5,16.96872269553686
6.5,16.976072225413944
7.499999999999999,15.81536346265757
7.499999999999999,15.824797312079479
8.5,14.406263839908105
8.5,14.41794960979629
9.5,12.67703307625146
9.5,12.691056273741577
10.5,10.535851093843387
10.5,10.519563892772048
11.5,7.750037778806437
11.5,7.731918987557349
12.5,3.864810318048163
12.5,3.8832967272903973
13.5,-2.48736285104188
13.5,-2.474672908422019
14.500000000000002,-30.741014359812514
14.500000000000002,-30.21451285800309
15.5,-4.282572545663826
15.5,-4.21312479223433
16.5,1.1432132720384538
16.5,1.2039861052800531
17.5,3.935191629193313
17.5,3.8733683236434757
18.5,5.450420379733728
18.5,5.5157456494364085
19.5,6.342218591621993
19.5,6.41214428001334
20.5,6.747342758998366
20.5,6.822522499917962
21.5,6.7612481855036135
21.5,6.842138167602581
22.5,6.514768857859022
22.5,6.4278238439258475
23.5,5.757564734997179
23.5,5.850827940815503
24.5,4.731467380805715
24.5,4.831230813698851
25.5,3.294045992260022
25.5,3.4003828065330532
26.5,1.3292629741089348
26.5,1.4420592192674957
27.5,-1.2892814312575904
27.5,-1.4080284720363598
28.500000000000004,-5.528862915723605
28.500000000000004,-5.405676797281847
29.500000000000004,-13.36827628032498
29.500000000000004,-13.242856112163219
30.5,-20.243630991939465
30.5,-19.933923398941655
31.5,-8.674477697252845
31.5,-8.48619280139959
32.5,-4.249645749919267
32.5,-4.064126513707277
33.5,-1.5138705319883128
33.5,-1.7049233129040728
34.5,-0.08182228820835732
34.5,0.117283144946432
35.5,0.9665527055055985
35.5,1.174994139083522
36.5,1.6030784600180756
36.5,1.8217547473430626
37.5,1.9147269823142532
37.5,2.14442138326134
38.5,2.1917794334695646
38.5,1.9502725061795276
39.5,1.7358206483232426
39.5,1.9900383919025657
40.5,1.2814596053374958
40.5,1.5494931552180224
41.5,0.5833600228355964
41.5,0.8666713875121903
42.5,-0.3775071479623575
42.5,-0.07684098275256321
43.5,-1.3195412002684308
43.5,-1.6407515611638495
44.5,-2.932267381029077
44.5,-3.279405355765332
45.5,-5.430465788214976
45.5,-5.047076423269916
46.5,-8.378268989468108
46.5,-7.934587731410261
47.5,-12.853092099094868
47.5,-12.269611260588844
48.5,-21.926277144936627
48.5,-20.559500875336635
49.5,-22.83233357778379
49.5,-22.41729455669061
50.5,-13.649154006164611
50.5,-13.829472903296278
51.5,-9.73484555510744
51.5,-9.508313134743531
52.50000000000001,-7.204432429658436
52.50000000000001,-6.943658847545185
53.5,-5.4644546334154045
53.5,-5.178100081966274
54.5,-4.212165301231186
54.5,-3.905192958351797
55.5,-2.972644409327944
55.5,-3.2972108724070877
56.5,-2.633719001337419
56.5,-2.2935375220454888
57.5,-2.167885365752053
57.5,-1.8134702490589139
58.5,-1.863707403051653
58.5,-1.4960795646425442
59.5,-1.6958962440451666
59.5,-1.3158504945522425
60.5,-1.254214745029322
60.5,-1.6460290947609142
61.50000000000001,-1.700315241797414
61.50000000000001,-1.297287010706232
62.50000000000001,-1.8482294147955425
62.50000000000001,-1.4344811441628915
63.50000000000001,-2.0816411811058626
63.50000000000001,-1.6576292284336123
64.5,-2.3942432354573224
64.5,-1.9604035205187316
65.5,-2.7811683018335485
65.5,-2.337929430978181
66.5,-2.786524351028086
66.5,-3.2387303153528113
67.5,-3.764251145895941
67.5,-3.303523114933083
68.5,-4.3559490688092755
68.5,-3.8871660555307064
69.5,-5.0128743312568025
69.5,-4.536534904002636
70.5,-5.734883053539005
70.5,-5.2515277939859795
71.5,-6.03286878718547
71.5,-6.522644745075611
72.5,-7.377681710654855
72.5,-6.882150476310619
73.5,-8.30244105144843
73.5,-7.801910853411123
74.5,-9.300402099225485
74.5,-8.79574808295039
75.5,-10.376224055259854
75.5,-9.868479275445667
76.5,-11.026351827686604
76.5,-11.535940177539796
77.5,-12.277318026391594
77.5,-12.787205397406535
78.5,-14.139601895488457
78.5,-13.631384179470354
79.5,-15.60499724200929
79.5,-15.101041132214368
80.5,-17.197920581288606
80.5,-16.701764657288052
81.5,-18.935845018147226
81.5,-18.45251841690685
82.5,-20.376037192577336
82.5,-20.839065645082798
83.5,-22.92935634401954
83.5,-22.498248807054434
84.5,-25.22530956199177
84.5,-24.845066900328714
85.5,-27.729164206572182
85.5,-27.431811840306114
86.5,-30.393559075495315
86.5,-30.233282055972104
87.5,-33.05110395523036
87.5,-33.110185922466016
88.5,-35.323068556855375
88.5,-35.67907608004709
89.5,-37.265930194086096
89.5,-36.66163568354214
90.5,-36.66163568354214
90.5,-37.265930194086096
91.5,-35.32306855685538
91.5,-35.679076080047096
92.5,-33.05110395523036
92.5,-33.11018592246602
93.5,-30.393559075495556
93.5,-30.233282055972346
94.5,-27.431811840306118
94.5,-27.729164206572186
95.5,-25.225309561991928
95.5,-24.84506690032886
96.5,-22.92935634401954
