theta_deg,dir_bempp_dBi
0.5,19.87465204333582
0.5,19.874669437696404
1.5000000000000002,19.739045206390195
1.5000000000000002,19.739073680294446
2.5,19.4658548862478
2.5,19.465864018226856
3.5,19.050111782892913
3.5,19.050073357088472
4.5,18.483774111206532
4.5,18.48366330126087
5.5,17.754673329017212
5.5,17.75487622836225
6.5,16.846095722160662
6.5,16.845788846945545
7.499999999999999,15.732322100433
7.499999999999999,15.731911663117055
8.5,14.376369119475754
8.5,14.37587583418749
9.5,12.720925709095933
9.5,12.720406171865807
10.5,10.671628104321256
10.5,10.672047451760518
11.5,8.060783661758803
11.5,8.060820044787146
12.5,4.536581377169121
12.5,4.537645297059795
13.5,-0.8290392953295918
13.5,-0.8243914100246779
14.500000000000002,-11.303658568726522
14.500000000000002,-11.282013240077784
15.5,-5.960716161375018
15.5,-5.975513146539043
16.5,0.07998813115925713
16.5,0.06848666865017632
17.5,3.1017360687430577
17.5,3.112128659192859
18.5,4.872594117104588
18.5,4.8624631259878415
19.5,5.900284774111855
19.5,5.89005824073733
20.5,6.421849043813123
20.5,6.411356104221429
21.5,6.547271317524846
21.5,6.5364351597119885
22.5,6.319421185242095
22.5,6.330612938949116
23.5,5.792317335042979
23.5,5.780818455577417
24.5,4.926520474047648
24.5,4.914838578607564
25.5,3.699493954990876
25.5,3.687867411545401
26.5,2.038423724776032
26.5,2.027289043184188
27.5,-0.20734635909121693
27.5,-0.19752410776918639
28.500000000000004,-3.286939776915787
28.500000000000004,-3.293835441908776
29.500000000000004,-7.774410782281052
29.500000000000004,-7.77591817501977
30.5,-13.079760976587163
30.5,-13.09767951316996
31.5,-10.268530935836663
31.5,-10.322838460863961
32.5,-5.788515592801488
32.5,-5.835502981278537
33.5,-2.9468843714783604
33.5,-2.9042180675029687
34.5,-1.0101355581776146
34.5,-1.051006449698091
35.5,0.25710593497883977
35.5,0.21680050744834697
36.5,1.0836540110717712
36.5,1.043266400012728
37.5,1.5723093644050223
37.5,1.5314763083452925
38.5,1.741724342531041
38.5,1.783205334379045
39.5,1.7520315465842116
39.5,1.709808171939339
40.5,1.498697002310931
40.5,1.4557261670317676
41.5,1.0314311611100253
41.5,0.9878004451706914
42.5,0.3483297478435706
42.5,0.30424447701947094
43.5,-0.6070585899719875
43.5,-0.562899161632427
44.5,-1.7703911678884583
44.5,-1.7268309305138296
45.5,-3.183860728701066
45.5,-3.225607973831
46.5,-4.994141637388426
46.5,-5.031774022713449
47.5,-7.231734767315192
47.5,-7.260622311625608
48.5,-9.905402103519098
48.5,-9.916407663407519
49.5,-12.501415703419811
49.5,-12.485678934734729
50.5,-13.1360182534154
50.5,-13.147612684619222
51.5,-11.322439278197827
51.5,-11.348829517353247
52.50000000000001,-9.015032791993574
52.50000000000001,-9.065757673520032
53.5,-7.0739668863188125
53.5,-7.136619282553348
54.5,-5.553550623881912
54.5,-5.622749640702903
55.5,-4.448413703546307
55.5,-4.374993743240335
56.5,-3.4635573467351346
56.5,-3.540090562794513
57.5,-2.763419157020832
57.5,-2.842478995116264
58.5,-2.234148200145164
58.5,-2.3153901192837885
59.5,-1.8461256646966624
59.5,-1.9293259193277965
60.5,-1.662182749498621
60.5,-1.5771838617497205
61.50000000000001,-1.4103553025922761
