theta_deg,dir_bempp_imp_dBi
9.0,12.867818777026006
9.0,12.878910418956018
27.0,-5.399034001730957
27.0,-5.2348012678905445
45.0,-21.489283726398227
45.0,-21.59159312221453
63.0,-16.39480892099257
63.0,-16.16948864120182
81.0,-15.92719060749445
81.0,-15.997528577304529
99.0,-15.997528577304529
99.0,-15.92719060749445
117.0,-16.39480892099257
117.0,-16.16948864120182
135.0,-21.48928372639822
135.0,-21.591593122214526
153.0,-5.399034001730966
153.0,-5.234801267890549
171.0,12.867818777025995
171.0,12.878910418956009
