theta_deg,phi_deg,dir_bempp_imp_dBi
9.0,22.5,12.867818777026006
9.0,67.5,12.831756920438213
9.0,112.5,12.841698004382247
9.0,157.5,12.878868386420653
9.0,202.5,12.868072564764732
9.0,247.49999999999997,12.831647227303169
9.0,292.5,12.84172826489786
9.0,337.5,12.878910418956018
27.0,22.5,-5.399034001730957
27.0,67.5,-5.527070857165369
27.0,112.5,-5.628386362500525
27.0,157.5,-5.248914584548553
27.0,202.5,-5.39910453388874
27.0,247.49999999999997,-5.527224731432755
27.0,292.5,-5.625219382794372
27.0,337.5,-5.2348012678905445
45.0,22.5,-21.489283726398227
45.0,67.5,-25.28752897499777
45.0,112.5,-23.273635623923926
45.0,157.5,-21.490353508743823
45.0,202.5,-21.434721540417492
45.0,247.49999999999997,-25.409050581275956
45.0,292.5,-23.34444672117524
45.0,337.5,-21.59159312221453
63.0,22.5,-16.39480892099257
63.0,67.5,-20.13453311101976
63.0,112.5,-21.054941757892575
63.0,157.5,-16.234261656764538
63.0,202.5,-16.508398410457726
63.0,247.49999999999997,-19.982505836071628
63.0,292.5,-21.039415733400276
63.0,337.5,-16.16948864120182
81.0,22.5,-15.997528577304529
81.0,67.5,-21.59052596066395
81.0,112.5,-20.224221838339854
81.0,157.5,-15.985673651527188
81.0,202.5,-16.091208557587738
81.0,247.49999999999997,-21.232363399198167
81.0,292.5,-20.28151466837667
81.0,337.5,-15.92719060749445
99.0,22.5,-15.997528577304529
99.0,67.5,-21.59052596066395
99.0,112.5,-20.224221838339854
99.0,157.5,-15.985673651527188
99.0,202.5,-16.091208557587738
99.0,247.49999999999997,-21.232363399198167
99.0,292.5,-20.28151466837667
99.0,337.5,-15.92719060749445
117.0,22.5,-16.39480892099257
117.0,67.5,-20.134533111019763
117.0,112.5,-21.054941757892575
117.0,157.5,-16.234261656764538
117.0,202.5,-16.508398410457726
117.0,247.49999999999997,-19.98250583607163
117.0,292.5,-21.039415733400276
117.0,337.5,-16.16948864120182
135.0,22.5,-21.48928372639822
135.0,67.5,-25.28752897499775
135.0,112.5,-23.27363562392392
135.0,157.5,-21.490353508743816
135.0,202.5,-21.434721540417463
135.0,247.49999999999997,-25.40905058127595
135.0,292.5,-23.34444672117522
135.0,337.5,-21.591593122214526
153.0,22.5,-5.399034001730966
153.0,67.5,-5.527070857165378
153.0,112.5,-5.628386362500528
153.0,157.5,-5.248914584548562
153.0,202.5,-5.399104533888748
153.0,247.49999999999997,-5.52722473143276
153.0,292.5,-5.625219382794382
153.0,337.5,-5.234801267890549
171.0,22.5,12.867818777025995
171.0,67.5,12.831756920438197
171.0,112.5,12.841698004382234
171.0,157.5,12.878868386420642
171.0,202.5,12.868072564764718
171.0,247.49999999999997,12.83164722730316
171.0,292.5,12.841728264897853
171.0,337.5,12.878910418956009
