theta_deg,phi_deg,power_dB
11.25,11.25,-21.628866618532413
11.25,33.75,-21.650662044111403
11.25,56.25,-21.683564659909553
11.25,78.75,-21.708725523870825
11.25,101.25,-21.708206704804816
11.25,123.74999999999999,-21.68187255251715
11.25,146.25,-21.648341642775712
11.25,168.75,-21.627719611944336
11.25,191.25,-21.628866618532413
11.25,213.75,-21.650662044111403
11.25,236.25,-21.683564659909553
11.25,258.75,-21.708725523870825
11.25,281.25,-21.708206704804823
11.25,303.75,-21.68187255251715
11.25,326.25,-21.648341642775716
11.25,348.75,-21.627719611944336
33.75,11.25,-25.251505709592514
33.75,33.75,-25.292009082089994
33.75,56.25,-25.595645239932338
33.75,78.75,-25.999300730827027
33.75,101.25,-26.020245499625222
33.75,123.74999999999999,-25.615911662140604
33.75,146.25,-25.26093176759273
33.75,168.75,-25.22233525136505
33.75,191.25,-25.251505709592514
33.75,213.75,-25.292009082089994
33.75,236.25,-25.595645239932338
33.75,258.75,-25.999300730827027
33.75,281.25,-26.020245499625226
33.75,303.75,-25.615911662140604
33.75,326.25,-25.260931767592723
33.75,348.75,-25.222335251365052
56.25,11.25,-31.743463466197078
56.25,33.75,-30.88398953878182
56.25,56.25,-31.786401481378007
56.25,78.75,-33.24125255295935
56.25,101.25,-33.26482706759599
56.25,123.74999999999999,-32.01384423572194
56.25,146.25,-30.751724968056028
56.25,168.75,-31.56524302730455
56.25,191.25,-31.743463466197074
56.25,213.75,-30.883989538781826
56.25,236.25,-31.786401481378018
56.25,258.75,-33.24125255295935
56.25,281.25,-33.26482706759599
56.25,303.75,-32.01384423572194
56.25,326.25,-30.751724968056028
56.25,348.75,-31.565243027304554
78.75,11.25,-39.403829126316744
78.75,33.75,-35.17739313189275
78.75,56.25,-37.07330238889112
78.75,78.75,-36.861769120730735
78.75,101.25,-36.13771010763962
78.75,123.74999999999999,-37.66946508651677
78.75,146.25,-34.86833716870763
78.75,168.75,-39.0009710913293
78.75,191.25,-39.40382912631674
78.75,213.75,-35.17739313189275
78.75,236.25,-37.07330238889113
78.75,258.75,-36.86176912073072
78.75,281.25,-36.13771010763961
78.75,303.75,-37.66946508651677
78.75,326.25,-34.86833716870764
78.75,348.75,-39.000971091329305
101.25,11.25,-39.403829126316744
101.25,33.75,-35.17739313189275
101.25,56.25,-37.07330238889112
101.25,78.75,-36.861769120730735
101.25,101.25,-36.13771010763962
101.25,123.74999999999999,-37.66946508651677
101.25,146.25,-34.86833716870764
101.25,168.75,-39.0009710913293
101.25,191.25,-39.403829126316744
101.25,213.75,-35.17739313189275
101.25,236.25,-37.07330238889113
101.25,258.75,-36.86176912073072
101.25,281.25,-36.13771010763961
101.25,303.75,-37.66946508651677
101.25,326.25,-34.86833716870764
101.25,348.75,-39.000971091329305
123.74999999999999,11.25,-31.74346346619709
123.74999999999999,33.75,-30.883989538781826
123.74999999999999,56.25,-31.786401481378014
123.74999999999999,78.75,-33.24125255295935
123.74999999999999,101.25,-33.264827067595995
123.74999999999999,123.74999999999999,-32.01384423572194
123.74999999999999,146.25,-30.751724968056028
123.74999999999999,168.75,-31.565243027304554
123.74999999999999,191.25,-31.743463466197085
123.74999999999999,213.75,-30.883989538781826
123.74999999999999,236.25,-31.78640148137802
123.74999999999999,258.75,-33.24125255295935
123.74999999999999,281.25,-33.264827067595995
123.74999999999999,303.75,-32.01384423572194
123.74999999999999,326.25,-30.75172496805603
123.74999999999999,348.75,-31.56524302730456
146.25,11.25,-25.251505709592514
146.25,33.75,-25.29200908208999
146.25,56.25,-25.595645239932338
146.25,78.75,-25.999300730827027
146.25,101.25,-26.020245499625222
146.25,123.74999999999999,-25.615911662140604
146.25,146.25,-25.26093176759273
146.25,168.75,-25.22233525136505
146.25,191.25,-25.251505709592514
146.25,213.75,-25.292009082089994
146.25,236.25,-25.595645239932338
146.25,258.75,-25.999300730827027
146.25,281.25,-26.020245499625226
146.25,303.75,-25.615911662140604
146.25,326.25,-25.260931767592723
146.25,348.75,-25.22233525136505
168.75,11.25,-21.628866618532413
168.75,33.75,-21.650662044111403
168.75,56.25,-21.683564659909553
168.75,78.75,-21.70872552387083
168.75,101.25,-21.708206704804816
168.75,123.74999999999999,-21.68187255251715
168.75,146.25,-21.648341642775716
168.75,168.75,-21.627719611944336
168.75,191.25,-21.628866618532413
168.75,213.75,-21.650662044111407
168.75,236.25,-21.683564659909557
168.75,258.75,-21.708725523870825
168.75,281.25,-21.708206704804823
168.75,303.75,-21.68187255251715
168.75,326.25,-21.64834164277572
168.75,348.75,-21.627719611944336
