theta_deg,dir_julia_imp_dBi
0.5,19.84745232961641
0.5,19.847450158239248
1.5000000000000002,19.714256904803918
1.5000000000000002,19.71423732033166
2.5,19.445573172436042
2.5,19.4455185322393
3.5,19.036607866154704
3.5,19.036500042370534
4.5,18.479610287622712
4.5,18.479430350998697
5.5,17.76306622718764
5.5,17.762794015537505
6.5,16.870346021555246
6.5,16.86995949227177
7.499999999999999,15.777421608333121
7.499999999999999,15.776895771228915
8.5,14.448865647124249
8.5,14.44817062246307
9.5,12.830401329017196
9.5,12.829498393594356
10.5,10.833782081772117
10.5,10.832614429949691
11.5,8.302165271019582
11.5,8.300632065128578
12.5,4.915458514147061
12.5,4.913319074678169
13.5,-0.15333644565438617
13.5,-0.15703394028725076
14.500000000000002,-10.187521520051765
14.500000000000002,-10.205187140965492
15.5,-7.579268170017781
15.5,-7.58683840767393
16.5,-0.621787441387459
16.5,-0.6247325051571381
17.5,2.685218504576296
17.5,2.682403561085839
18.5,4.584678482288855
18.5,4.581559255628547
19.5,5.7045086061192505
19.5,5.700945979117149
20.5,6.298824828150556
20.5,6.294723728175987
21.5,6.48945636745256
21.5,6.484718710934052
22.5,6.3372181582842035
22.5,6.3317231111903975
23.5,5.8677432020401765
23.5,5.861327914022846
24.5,5.080580926290073
24.5,5.073010307002396
25.5,3.949273637093877
25.5,3.940182792821111
26.5,2.4126784784701023
26.5,2.401447962721261
27.5,0.35114682323013574
27.5,0.33659004691330346
28.500000000000004,-2.4736853821380635
28.500000000000004,-2.494276200174827
29.500000000000004,-6.575305885639462
29.500000000000004,-6.609992890934229
30.5,-12.70840124879834
30.5,-12.785576310821696
31.5,-12.932107528668872
31.5,-12.96021058796535
32.5,-7.447976582681266
32.5,-7.446678065462354
33.5,-3.9893964343165695
33.5,-3.9873345991828097
34.5,-1.782344277246746
34.5,-1.7817320718891028
35.5,-0.31238915905648806
35.5,-0.3133081121705801
36.5,0.6644248096129747
36.5,0.6620788050397569
37.5,1.2766598088116266
37.5,1.2729545558341941
38.5,1.5979409271520515
38.5,1.5928801594976318
39.5,1.6722315219678276
39.5,1.6657493782628139
40.5,1.5254527315590054
40.5,1.517403152549734
41.5,1.1710752384759198
41.5,1.1612083649204545
42.5,0.612624713449283
42.5,0.6005419620249867
43.5,-0.1557472796792565
43.5,-0.17067545737185813
44.5,-1.1503006514258565
44.5,-1.169088383738682
45.5,-2.400522719940545
45.5,-2.424870630014977
46.5,-3.954166687045765
46.5,-3.9870983694635074
47.5,-5.884069868032081
47.5,-5.931384225914117
48.5,-8.287221851177517
48.5,-8.36098558158987
49.5,-11.201097730983761
49.5,-11.326483119597006
50.5,-14.006677943693674
50.5,-14.205786979107408
51.5,-14.332248639523444
51.5,-14.496663965355367
52.50000000000001,-12.058609499681857
52.50000000000001,-12.123604754921049
53.5,-9.593118478041823
53.5,-9.61069184025299
54.5,-7.616314630213472
54.5,-7.614420520908158
55.5,-6.0938838003152735
55.5,-6.082703749715755
56.5,-4.920706659765928
56.5,-4.904145469787274
57.5,-4.014171805902575
57.5,-3.993824638742081
58.5,-3.316018658172741
58.5,-3.2925261329530535
59.5,-2.78512175484941
59.5,-2.7586822445542647
60.5,-2.3917716881917612
60.5,-2.362354820460163
61.50000000000001,-2.1139314334801944
61.50000000000001,-2.0813738128610564
62.50000000000001,-1.9348500681086078
62.50000000000001,-1.8988997930692268
63.50000000000001,-1.841525455703993
63.50000000000001,-1.801862164923297
64.5,-1.8236936161992132
64.5,-1.7799355430184334
65.5,-1.8731501527424186
65.5,-1.8248532885725524
66.5,-1.983286116306294
66.5,-1.9299376721689425
67.5,-2.148766102454605
67.5,-2.089772979086636
68.5,-2.3653033775242895
68.5,-2.2999754766722393
69.5,-2.629503207493278
69.5,-2.5570307638317837
70.5,-2.938755743181902
70.5,-2.858179228665505
71.5,-3.2911663204174015
71.5,-3.2013367342414223
72.5,-3.685515310030217
72.5,-3.5850416877002855
73.5,-4.121242531922566
73.5,-4.008422125823028
74.5,-4.598453187407845
74.5,-4.471177762148458
75.5,-5.11794345498571
75.5,-4.973572165503267
76.5,-5.681244265613225
76.5,-5.5164291316985015
77.5,-6.290680877793076
77.5,-6.101124164687663
78.5,-6.949442569110428
78.5,-6.729555316018904
79.5,-7.6616484694677744
79.5,-7.404064525052837
80.5,-8.432376583143274
80.5,-8.127255461663282
81.5,-9.267580772757531
81.5,-8.901606191231453
82.5,-10.173726902966155
82.5,-9.72868589478306
83.5,-11.156772794216835
83.5,-10.607624182823654
84.5,-12.219667427611277
84.5,-11.53221615487132
85.5,-13.356620502148642
85.5,-12.485705974398154
86.5,-14.540807335954044
86.5,-13.432234928228528
87.5,-15.701091283648205
87.5,-14.305571692688792
88.5,-16.690525345112967
88.5,-15.002151100977667
89.5,-17.28417345465559
89.5,-15.396847269037098
90.5,-17.28417345465559
90.5,-15.396847269037096
91.5,-16.690525345112974
91.5,-15.002151100977672
92.5,-15.701091283648212
92.5,-14.305571692688797
93.5,-14.54080733595406
93.5,-13.432234928228521
94.5,-13.356620502148653
94.5,-12.485705974398162
95.5,-12.219667427611283
95.5,-11.532216154871318
96.5,-11.15677279421684
96.5,-10.60762418282366
97.5,-10.173726902966164
97.5,-9.728685894783064
98.5,-9.267580772757526
98.5,-8.90160619123145
99.5,-8.432376583143268
99.5,-8.127255461663282
100.50000000000001,-7.661648469467769
100.50000000000001,-7.404064525052833
101.5,-6.949442569110435
101.5,-6.729555316018908
102.5,-6.290680877793079
102.5,-6.10112416468767
103.5,-5.681244265613232
103.5,-5.516429131698509
104.5,-5.11794345498571
104.5,-4.973572165503273
105.5,-4.598453187407849
105.5,-4.471177762148464
106.5,-4.121242531922568
106.5,-4.008422125823031
107.5,-3.685515310030217
107.5,-3.5850416877002833
108.5,-3.2911663204174024
108.5,-3.2013367342414223
109.50000000000001,-2.9387557431818974
109.50000000000001,-2.8581792286655006
110.5,-2.629503207493278
110.5,-2.5570307638317913
111.5,-2.3653033775242904
111.5,-2.29997547667224
112.5,-2.148766102454602
112.5,-2.089772979086639
113.5,-1.983286116306295
113.5,-1.9299376721689447
114.5,-1.8731501527424212
114.5,-1.8248532885725546
115.49999999999999,-1.8236936161992154
115.49999999999999,-1.779935543018434
116.5,-1.8415254557039975
116.5,-1.801862164923298
117.5,-1.9348500681085974
117.5,-1.89889979306922
118.50000000000001,-2.113931433480192
118.50000000000001,-2.0813738128610546
119.5,-2.3917716881917634
119.5,-2.3623548204601623
120.50000000000001,-2.7851217548494085
120.50000000000001,-2.7586822445542603
121.5,-3.316018658172732
121.5,-3.2925261329530437
122.50000000000001,-4.014171805902574
122.50000000000001,-3.993824638742079
123.5,-4.920706659765928
123.5,-4.904145469787274
124.49999999999999,-6.093883800315256
124.49999999999999,-6.082703749715743
125.5,-7.616314630213472
125.5,-7.614420520908158
126.5,-9.593118478041795
126.5,-9.610691840252963
127.50000000000001,-12.058609499681857
127.50000000000001,-12.123604754921049
128.5,-14.332248639523417
128.5,-14.496663965355353
129.5,-14.006677943693653
129.5,-14.205786979107378
130.5,-11.201097730983761
130.5,-11.326483119597004
131.5,-8.28722185117752
131.5,-8.36098558158987
132.5,-5.884069868032081
132.5,-5.931384225914117
133.5,-3.9541666870457837
133.5,-3.987098369463536
134.5,-2.400522719940545
134.5,-2.424870630014977
135.5,-1.1503006514258676
135.5,-1.1690883837386936
136.5,-0.1557472796792565
136.5,-0.17067545737185813
137.5,0.6126247134492722
137.5,0.6005419620249791
138.5,1.171075238475922
138.5,1.1612083649204634
139.5,1.5254527315590023
139.5,1.5174031525497371
140.5,1.672231521967835
140.5,1.6657493782628139
141.5,1.5979409271520586
141.5,1.59288015949764
142.5,1.2766598088116292
142.5,1.2729545558341993
143.5,0.6644248096129747
143.5,0.6620788050397569
144.5,-0.3123891590564839
144.5,-0.3133081121705744
145.5,-1.782344277246746
145.5,-1.7817320718891028
146.5,-3.9893964343165536
146.5,-3.987334599182798
147.5,-7.447976582681291
147.5,-7.446678065462386
148.5,-12.932107528668828
148.5,-12.960210587965303
149.5,-12.70840124879834
149.5,-12.785576310821696
150.5,-6.575305885639462
150.5,-6.609992890934229
151.5,-2.4736853821380898
151.5,-2.4942762001748484
152.5,0.35114682323013574
152.5,0.33659004691330346
153.5,2.4126784784700797
153.5,2.4014479627212317
154.5,3.949273637093884
154.5,3.940182792821118
155.5,5.080580926290069
155.5,5.073010307002381
156.5,5.867743202040177
156.5,5.86132791402285
157.5,6.337218158284205
157.5,6.331723111190394
158.5,6.489456367452567
158.5,6.4847187109340485
159.5,6.298824828150562
159.5,6.294723728175992
160.5,5.704508606119263
160.5,5.700945979117159
161.5,4.584678482288855
161.5,4.581559255628547
162.5,2.6852185045763246
162.5,2.6824035610858683
163.5,-0.6217874413874745
163.5,-0.6247325051571564
164.5,-7.579268170017679
164.5,-7.586838407673832
165.5,-10.18752152005166
165.5,-10.205187140965391
166.5,-0.15333644565444812
166.5,-0.15703394028731177
167.5,4.915458514147094
167.5,4.913319074678208
168.5,8.302165271019572
168.5,8.300632065128575
169.5,10.833782081772082
169.5,10.832614429949652
170.5,12.830401329017196
170.5,12.829498393594356
171.5,14.44886564712424
171.5,14.448170622463055
172.5,15.777421608333121
172.5,15.776895771228915
173.5,16.87034602155524
173.5,16.86995949227176
174.5,17.76306622718765
174.5,17.762794015537505
175.5,18.47961028762271
175.5,18.47943035099869
176.5,19.036607866154707
176.5,19.036500042370537
177.5,19.445573172436042
177.5,19.4455185322393
178.5,19.714256904803918
178.5,19.71423732033166
179.5,19.84745232961641
179.5,19.847450158239248
