metric,value,unit
max_grad_rel_err_reference,2.8635292213898374e-7,
max_grad_rel_err_mesh_sweep,2.829300899010694e-6,
min_energy_ratio,0.98070979850131,
nominal_J_opt_pct,13.248761316530782,%
nominal_J_pec_pct,0.2457357406071218,%
nominal_improvement_factor,53.91466981481005,x
gain_target_db,22.667443781065884,dB
fplus2_J_opt_pct,4.773261734846203,%
pec_global_mean_abs_diff_db,0.7112036604716527,dB
pec_target_mean_abs_diff_db,0.3374682592533953,dB
imp_global_mean_abs_diff_db,2.6411177057413298,dB
imp_target_mean_abs_diff_db,2.6031621105337277,dB
